trial,baseline_prob,large_sample_performance,n_reps_total,n_reps_per,signal_parameters,noise_parameters,minimum_threshold,min_sample_size,max_sample_size,tune_param,n_min,sim_time
1,0.1,0.7,500,50,100,10,0.05,100,3000,0.08,2400,335.3
2,0.1,0.7,500,50,100,10,0.05,100,3000,0.08,2407,331.6
3,0.1,0.7,500,50,100,10,0.05,100,3000,0.08,2302,328
4,0.1,0.7,500,50,100,10,0.05,100,3000,0.08,2388,329.1
5,0.1,0.7,500,50,100,10,0.05,100,3000,0.08,2374,326.9
6,0.1,0.7,500,50,100,10,0.05,100,3000,0.08,2266,324.5
7,0.1,0.7,500,50,100,10,0.05,100,3000,0.08,2592,326.2
8,0.1,0.7,500,50,100,10,0.05,100,3000,0.08,2410,330.9
9,0.1,0.7,500,50,100,10,0.05,100,3000,0.08,2350,334.4
10,0.1,0.7,500,50,100,10,0.05,100,3000,0.08,2262,329.5
11,0.1,0.7,500,50,100,10,0.05,100,3000,0.08,2458,320.7
12,0.1,0.7,500,50,100,10,0.05,100,3000,0.08,2428,317.9
13,0.1,0.7,500,50,100,10,0.05,100,3000,0.08,2329,320.9
14,0.1,0.7,500,50,100,10,0.05,100,3000,0.08,2430,320.1
15,0.1,0.7,500,50,100,10,0.05,100,3000,0.08,2424,322.8
16,0.1,0.7,500,50,100,10,0.05,100,3000,0.08,2466,311
17,0.1,0.7,500,50,100,10,0.05,100,3000,0.08,2305,263.7
18,0.1,0.7,500,50,100,10,0.05,100,3000,0.08,2336,334.8
19,0.1,0.7,500,50,100,10,0.05,100,3000,0.08,2345,333.6
20,0.1,0.7,500,50,100,10,0.05,100,3000,0.08,2359,330.2
21,0.1,0.7,500,50,100,10,0.05,100,3000,0.08,2380,328.3
22,0.1,0.7,500,50,100,10,0.05,100,3000,0.08,2430,328
23,0.1,0.7,500,50,100,10,0.05,100,3000,0.08,2389,321.6
24,0.1,0.7,500,50,100,10,0.05,100,3000,0.08,2439,323.9
25,0.1,0.7,500,50,100,10,0.05,100,3000,0.08,2407,326.9
26,0.1,0.7,500,50,100,10,0.05,100,3000,0.08,2352,337.2
27,0.1,0.7,500,50,100,10,0.05,100,3000,0.08,2395,334.5
28,0.1,0.7,500,50,100,10,0.05,100,3000,0.08,2400,328.9
29,0.1,0.7,500,50,100,10,0.05,100,3000,0.08,2442,328.5
30,0.1,0.7,500,50,100,10,0.05,100,3000,0.08,2349,325
31,0.1,0.7,500,50,100,10,0.05,100,3000,0.08,2365,327.3
32,0.1,0.7,500,50,100,10,0.05,100,3000,0.08,2265,324.7
33,0.1,0.7,500,50,100,10,0.05,100,3000,0.08,2289,305.3
34,0.1,0.7,500,50,100,10,0.05,100,3000,0.08,2404,336.7
35,0.1,0.7,500,50,100,10,0.05,100,3000,0.08,2428,335.1
36,0.1,0.7,500,50,100,10,0.05,100,3000,0.08,2419,329
37,0.1,0.7,500,50,100,10,0.05,100,3000,0.08,2488,327.3
