trial,baseline_prob,large_sample_performance,n_reps_total,n_reps_per,signal_parameters,noise_parameters,minimum_threshold,min_sample_size,max_sample_size,sim_time,n_min
1,0.1,0.7,1000,10,100,10,0.05,1000,3000,784.1,2650
2,0.1,0.7,1000,10,100,10,0.05,1000,3000,730.1,2234
3,0.1,0.7,1000,10,100,10,0.05,1000,3000,794.6,2403
4,0.1,0.7,1000,10,100,10,0.05,1000,3000,734.2,2333
5,0.1,0.7,1000,10,100,10,0.05,1000,3000,763.1,2568
6,0.1,0.7,1000,10,100,10,0.05,1000,3000,788.1,2353
7,0.1,0.7,1000,10,100,10,0.05,1000,3000,743,2287
8,0.1,0.7,1000,10,100,10,0.05,1000,3000,776.1,2739
9,0.1,0.7,1000,10,100,10,0.05,1000,3000,730.8,2295
10,0.1,0.7,1000,10,100,10,0.05,1000,3000,770.3,2324
11,0.1,0.7,1000,10,100,10,0.05,1000,3000,774.3,2508
12,0.1,0.7,1000,10,100,10,0.05,1000,3000,745.9,2252
13,0.1,0.7,1000,10,100,10,0.05,1000,3000,823.7,2713
14,0.1,0.7,1000,10,100,10,0.05,1000,3000,735.9,2326
15,0.1,0.7,1000,10,100,10,0.05,1000,3000,664.7,2451
16,0.1,0.7,1000,10,100,10,0.05,1000,3000,601.2,2437
17,0.1,0.7,1000,10,100,10,0.05,1000,3000,576.4,2739
18,0.1,0.7,1000,10,100,10,0.05,1000,3000,788.1,2682
19,0.1,0.7,1000,10,100,10,0.05,1000,3000,700.5,2006
20,0.1,0.7,1000,10,100,10,0.05,1000,3000,784.3,2347
21,0.1,0.7,1000,10,100,10,0.05,1000,3000,745,2549
22,0.1,0.7,1000,10,100,10,0.05,1000,3000,747.8,2463
23,0.1,0.7,1000,10,100,10,0.05,1000,3000,818.9,2611
24,0.1,0.7,1000,10,100,10,0.05,1000,3000,779.7,2403
25,0.1,0.7,1000,10,100,10,0.05,1000,3000,718.6,1933
26,0.1,0.7,1000,10,100,10,0.05,1000,3000,740.5,2099
27,0.1,0.7,1000,10,100,10,0.05,1000,3000,768.6,2570
